Freq.	V(output)
Step Information: A=990m  (Run: 1/5)
1.00000000000000e+000	(8.45706350655286e-002dB,-6.84220661290351e-002°)
1.02329299228075e+000	(8.45706452404608e-002dB,-7.00158216531721e-002°)
1.04712854805090e+000	(8.45706558949209e-002dB,-7.16467005743625e-002°)
1.07151930523761e+000	(8.45706670514962e-002dB,-7.33155676120380e-002°)
1.09647819614318e+000	(8.45706787338512e-002dB,-7.50233076278466e-002°)
1.12201845430196e+000	(8.45706909667677e-002dB,-7.67708260948573e-002°)
1.14815362149688e+000	(8.45707037761831e-002dB,-7.85590495776719e-002°)
1.17489755493953e+000	(8.45707171892723e-002dB,-8.03889262237512e-002°)
1.20226443461741e+000	(8.45707312344692e-002dB,-8.22614262661611e-002°)
1.23026877081238e+000	(8.45707459415939e-002dB,-8.41775425380476e-002°)
1.25892541179417e+000	(8.45707613418076e-002dB,-8.61382909990917e-002°)
1.28824955169313e+000	(8.45707774677880e-002dB,-8.81447112742282e-002°)
1.31825673855641e+000	(8.45707943537330e-002dB,-9.01978672049162e-002°)
1.34896288259165e+000	(8.45708120354621e-002dB,-9.22988474132586e-002°)
1.38038426460288e+000	(8.45708305504660e-002dB,-9.44487658792560e-002°)
1.41253754462275e+000	(8.45708499380253e-002dB,-9.66487625315135e-002°)
1.44543977074593e+000	(8.45708702392461e-002dB,-9.89000038517090e-002°)
1.47910838816821e+000	(8.45708914971850e-002dB,-1.01203683493149e-001°)
1.51356124843621e+000	(8.45709137569380e-002dB,-1.03561022913728e-001°)
1.54881661891248e+000	(8.45709370657062e-002dB,-1.05973272023644e-001°)
1.58489319246111e+000	(8.45709614729235e-002dB,-1.08441709848198e-001°)
1.62181009735893e+000	(8.45709870303518e-002dB,-1.10967645206049e-001°)
1.65958690743756e+000	(8.45710137921922e-002dB,-1.13552417403249e-001°)
1.69824365246174e+000	(8.45710418152031e-002dB,-1.16197396943480e-001°)
1.73780082874937e+000	(8.45710711588094e-002dB,-1.18903986254810e-001°)
1.77827941003892e+000	(8.45711018852473e-002dB,-1.21673620433409e-001°)
1.81970085860998e+000	(8.45711340596774e-002dB,-1.24507768004578e-001°)
1.86208713666287e+000	(8.45711677503293e-002dB,-1.27407931701517e-001°)
1.90546071796325e+000	(8.45712030286510e-002dB,-1.30375649262244e-001°)
1.94984459975804e+000	(8.45712399694446e-002dB,-1.33412494245074e-001°)
1.99526231496888e+000	(8.45712786510626e-002dB,-1.36520076863116e-001°)
2.04173794466953e+000	(8.45713191555267e-002dB,-1.39700044838204e-001°)
2.08929613085404e+000	(8.45713615687260e-002dB,-1.42954084274737e-001°)
2.13796208950223e+000	(8.45714059806087e-002dB,-1.46283920553879e-001°)
2.18776162394955e+000	(8.45714524853436e-002dB,-1.49691319248597e-001°)
2.23872113856834e+000	(8.45715011815406e-002dB,-1.53178087060037e-001°)
2.29086765276777e+000	(8.45715521724618e-002dB,-1.56746072775707e-001°)
2.34422881531992e+000	(8.45716055662307e-002dB,-1.60397168250004e-001°)
2.39883291901949e+000	(8.45716614760622e-002dB,-1.64133309407590e-001°)
2.45470891568503e+000	(8.45717200205005e-002dB,-1.67956477270165e-001°)
2.51188643150958e+000	(8.45717813236875e-002dB,-1.71868699007160e-001°)
2.57039578276886e+000	(8.45718455155909e-002dB,-1.75872049010916e-001°)
2.63026799189538e+000	(8.45719127323262e-002dB,-1.79968649996974e-001°)
2.69153480392691e+000	(8.45719831163884e-002dB,-1.84160674129936e-001°)
2.75422870333816e+000	(8.45720568170147e-002dB,-1.88450344175652e-001°)
2.81838293126445e+000	(8.45721339904594e-002dB,-1.92839934680214e-001°)
2.88403150312660e+000	(8.45722148003244e-002dB,-1.97331773176463e-001°)
2.95120922666638e+000	(8.45722994179413e-002dB,-2.01928241418623e-001°)
3.01995172040201e+000	(8.45723880226847e-002dB,-2.06631776645716e-001°)
3.09029543251359e+000	(8.45724808023825e-002dB,-2.11444872874445e-001°)
3.16227766016837e+000	(8.45725779537229e-002dB,-2.16370082222228e-001°)
3.23593656929628e+000	(8.45726796826403e-002dB,-2.21410016261083e-001°)
3.31131121482591e+000	(8.45727862047700e-002dB,-2.26567347403058e-001°)
3.38844156139202e+000	(8.45728977459100e-002dB,-2.31844810318049e-001°)
3.46736850452531e+000	(8.45730145424643e-002dB,-2.37245203384590e-001°)
